code_iata;icao_code;timezone;gmt_offset;raw_offset;dst_offset;name;ordre
KHQ;BGKQ;America/Nuuk;-2;-2;-1;Kullorsuaq Heliport;4459
KUK;PFKA;America/Nome;-9;-9;-8;Kasigluk Airport;4460
KUM;RJFC;Asia/Tokyo;9;9;9;Yakushima Airport;4461
KVL;PAVL;America/Nome;-9;-9;-8;Kivalina Airport;4462
LGD;KLGD;America/Los_Angeles;-8;-8;-7;La Grande Municipal Airport;4463
LOW;KLKU;America/New_York;-5;-5;-4;Louisa, Louisa County Airport/Freeman Field;4464
LPO;KPPO;America/Chicago;-6;-6;-5;La Porte Municipal Airport;4465
LSO;LFOO;Europe/Paris;1;1;2;Les Sables-d'Olonne - Talmont Airport;4466
LUV;WAPF;Asia/Jayapura;9;9;9;Karel Sadsuitubun Airport;4467
MBY;KMBY;America/Chicago;-6;-6;-5;Omar N Bradley Airport;4468
MFV;KFMV;America/New_York;-5;-5;-4;Accomack County Airport;4469
MHU;YHOT;Australia/Melbourne;11;10;10;Mount Hotham Airport;4470
MIO;KMIO;America/Chicago;-6;-6;-5;Miami Municipal Airport;4471
MKO;KMKO;America/Chicago;-6;-6;-5;Davis Field Airport;4472
MRI;PAMR;America/Anchorage;-9;-9;-8;Merrill Field Airport;4473
MRP;YALA;Australia/Adelaide;10,5;9,5;9,5;Marla Airport;4474
MRW;EKMB;Europe/Copenhagen;1;1;2;Lolland Falster Airport;4475
MUT;KMUT;America/Chicago;-6;-6;-5;Muscatine Municipal Airport;4476
MVE;KMVE;America/Chicago;-6;-6;-5;Montevideo-Chippewa County Airport;4477
MYG;MYMM;America/Nassau;-5;-5;-4;Mayaguana Airport;4478
NCN;PFCB;America/Anchorage;-9;-9;-8;Chenega Bay Airport;4479
NSQ;BGNU;America/Nuuk;-2;-2;-1;Nuussuaq Heliport;4480
NYN;YNYN;Australia/Sydney;11;10;10;Nyngan Airport;4481
OTK;KTMK;America/Los_Angeles;-8;-8;-7;Tillamook Airport;4482
PIM;KPIM;America/New_York;-5;-5;-4;Harris County Airport;4483
PMD;KPMD;America/Los_Angeles;-8;-8;-7;Palmdale United States Air Force Plant 42 Airport;4484
PMH;KPMH;America/New_York;-5;-5;-4;Greater Portsmouth Regional Airport;4485
